frequency,angle,chord,velocity,suction,decibels
0.04040404040404041,0.0,1.0,1.0,0.03900472151494749,0.5802377217007472
0.05303030303030303,0.0,1.0,1.0,0.03900472151494749,0.6001808174010157
0.0707070707070707,0.0,1.0,1.0,0.03900472151494749,0.6437897199989363
0.09090909090909091,0.0,1.0,1.0,0.03900472151494749,0.6403329167442232
0.11616161616161616,0.0,1.0,1.0,0.03900472151494749,0.5900763155795464
0.14898989898989898,0.0,1.0,1.0,0.03900472151494749,0.5802377217007472
0.1919191919191919,0.0,1.0,1.0,0.03900472151494749,0.5233334219693145
0.24242424242424243,0.0,1.0,1.0,0.03900472151494749,0.47653362405935085
0.30808080808080807,0.0,1.0,1.0,0.03900472151494749,0.4297338261493871
0.3939393939393939,0.0,1.0,1.0,0.03900472151494749,0.36618182785119796
0.494949494949495,0.0,1.0,1.0,0.03900472151494749,0.3193820299412346
0.6212121212121212,0.0,1.0,1.0,0.03900472151494749,0.23562102800010648
0.797979797979798,0.0,1.0,1.0,0.03900472151494749,0.14202143218017943
0.015151515151515152,0.0,1.0,0.6010101010101011,0.0418910896622408,0.6125455367351823
0.021717171717171718,0.0,1.0,0.6010101010101011,0.0418910896622408,0.646581753396974
0.030303030303030304,0.0,1.0,0.6010101010101011,0.0418910896622408,0.656952163161114
0.04040404040404041,0.0,1.0,0.6010101010101011,0.0418910896622408,0.6271704735820459
0.05303030303030303,0.0,1.0,0.6010101010101011,0.0418910896622408,0.6037705746270642
0.0707070707070707,0.0,1.0,0.6010101010101011,0.0418910896622408,0.6277022894673866
0.09090909090909091,0.0,1.0,0.6010101010101011,0.0418910896622408,0.6178636955885873
0.11616161616161616,0.0,1.0,0.6010101010101011,0.0418910896622408,0.5511208019783551
0.14898989898989898,0.0,1.0,0.6010101010101011,0.0418910896622408,0.5279868109660438
0.1919191919191919,0.0,1.0,0.6010101010101011,0.0418910896622408,0.4713484191772808
0.24242424242424243,0.0,1.0,0.6010101010101011,0.0418910896622408,0.4314622277767437
0.30808080808080807,0.0,1.0,0.6010101010101011,0.0418910896622408,0.38811923312149343
0.3939393939393939,0.0,1.0,0.6010101010101011,0.0418910896622408,0.3482330417209563
0.494949494949495,0.0,1.0,0.6010101010101011,0.0418910896622408,0.25782434121307196
0.6212121212121212,0.0,1.0,0.6010101010101011,0.0418910896622408,0.20464275267902246
0.0,0.0,1.0,0.19949494949494959,0.046555235801832004,0.39218762464434836
0.0025252525252525255,0.0,1.0,0.19949494949494959,0.046555235801832004,0.42383066982210776
0.005808080808080808,0.0,1.0,0.19949494949494959,0.046555235801832004,0.5158348179860133
0.010101010101010102,0.0,1.0,0.19949494949494959,0.046555235801832004,0.5698141303480736
0.015151515151515152,0.0,1.0,0.19949494949494959,0.046555235801832004,0.6269843380221769
0.021717171717171718,0.0,1.0,0.19949494949494959,0.046555235801832004,0.671390964448108
0.030303030303030304,0.0,1.0,0.19949494949494959,0.046555235801832004,0.6838886377536095
0.04040404040404041,0.0,1.0,0.19949494949494959,0.046555235801832004,0.6519796846331801
0.05303030303030303,0.0,1.0,0.19949494949494959,0.046555235801832004,0.5881617783923205
0.0707070707070707,0.0,1.0,0.19949494949494959,0.046555235801832004,0.549605126705135
0.09090909090909091,0.0,1.0,0.19949494949494959,0.046555235801832004,0.5400324407690057
0.11616161616161616,0.0,1.0,0.19949494949494959,0.046555235801832004,0.47913952189751924
0.14898989898989898,0.0,1.0,0.19949494949494959,0.046555235801832004,0.45042146408913253
0.1919191919191919,0.0,1.0,0.19949494949494959,0.046555235801832004,0.4214374983380755
0.24242424242424243,0.0,1.0,0.19949494949494959,0.046555235801832004,0.3831467545935599
0.30808080808080807,0.0,1.0,0.19949494949494959,0.046555235801832004,0.3416651155370012
0.3939393939393939,0.0,1.0,0.19949494949494959,0.046555235801832004,0.3031084638498152
